Hasil;0;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20
Frame;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R
32;376,6058948;;296,5215001;;248,8232304;;222,7397585;;201,4671189;;303,2094985;;279,588984;;259,3472576;;249,0642487;;352,676906;;301,6819517;;265,1867267;;252,6756815;;388,4288867;;340,4247347;;304,5669056;;293,6460454;;415,3263777;;379,7077824;;341,1231449;;324,2298567
33;371,2478956;;289,8344355;;242,0743687;;215,0023256;;193,8066046;;296,3545174;;269,3176563;;248,1310138;;237,2172001;;344,0610411;;294,1054233;;258,9903473;;247,4186735;;381,1771242;;333,7364229;;299,0401311;;288,646843;;408,5413076;;375,0959877;;337;;318,1210461
33;365,0588994;;288,2949878;;245,5381844;;217,7062241;;194,257561;;288,1752939;;269,2953769;;245,4587542;;228,7575135;;331,6926288;;291,6058984;;259,1235227;;247,5176761;;368,4019544;;327,5622078;;298,4024129;;289,0847627;;397,7096931;;366,110639;;331,2174512;;311,0144691
34;357,9455266;;282,2002835;;239,002092;;213,0023474;;191,8879882;;277,0866291;;259,0019305;;235,3040586;;220,0772592;;321,5602587;;281,5546128;;252,8418478;;243,6554945;;358,108922;;318,6989175;;291,446393;;285,2805637;;388,6309303;;357,8058133;;322,0465805;;303,6379423
34;351,7740752;;274,1277075;;235,274308;;212,7580786;;193,3287356;;274,2571786;;246,1320784;;221;;209,8046711;;320,9143188;;271,6265819;;244,4933537;;239,7102418;;358,6153929;;309,2329219;;283,1289459;;281,4427118;;388,2937033;;350,6009127;;315,7847368;;301,8774586
35;348,832338;;269,4290259;;231,4908206;;210,2617416;;190,339171;;267,8600381;;238,5372088;;212,3228674;;199,8824655;;314,3405796;;265,4976459;;237,1855813;;232,6649952;;352,239975;;303,3232599;;275,9492707;;271,5879231;;381,9136028;;343,8168117;;310,4979871;;295,3929586
35;343,2273299;;262,0114501;;224,1093483;;206,3128692;;191,8801709;;258,1472448;;243,4789519;;209,4588265;;180,9419797;;299,6080773;;272,3104846;;243,1810025;;230,2042571;;338,5144015;;309,142362;;281,8581203;;270,9630971;;369,8999865;;344,8158929;;313,3831521;;293,4910561
36;340,1543767;;258,3118271;;220,4109798;;201,5564437;;183,9809773;;251,5492;;235,2126697;;200,8083664;;170,9853795;;292,4175097;;264,4617175;;236,6199484;;222,750982;;330,6266777;;300,5611419;;275,0709;;266,0169168;;361,6531487;;336,1339019;;308,35045;;292,8651567
36;335,3356527;;252,4381112;;215,5017401;;193,8298223;;174,1407477;;251,7935662;;202,4746898;;170,5579081;;156,5407295;;295,3116997;;231,354706;;207,2920645;;207,6246613;;332,8978822;;273,7608445;;251,213057;;253,6000789;;361,8632338;;317,5862088;;289,9448223;;284,0158446
37;324,3362453;;241,8470591;;205,2510658;;183,4693435;;168,6890631;;244,0758079;;193,8762492;;161,245155;;148,0067566;;288,7801932;;222,4814599;;194,9051051;;196,2294575;;325,3013987;;264,4409197;;242,0743687;;245,4159734;;353,162852;;307,6897788;;279,8660394;;274,1277075
37;313,2091953;;228,5804016;;190,1920082;;173,6231551;;162,2374803;;223,7319825;;195,9311103;;154,1590088;;121,2353084;;268,1063222;;225,0555487;;193,9819579;;185,1809925;;304,4536089;;263,9337038;;239,6434852;;234,2733446;;335,7528853;;303,1171391;;274,710757;;263,210942
38;310,6283954;;222,8744041;;182,8332574;;168,58529;;161,523992;;214,869728;;187,0187156;;145,1654229;;111,5078473;;258,0949438;;217,2671167;;190,5885621;;183,9809773;;295,6924077;;256,400078;;234,155931;;230,3410515;;327,6110499;;295,7853952;;267,0018727;;255,5190795
38;297,4172154;;211,851363;;175,755512;;160,3277892;;153;;203,1994094;;175,5477143;;134,3502884;;101,2422837;;243,2611765;;207,2341671;;182,5705343;;177,2004515;;281,4604768;;246,292509;;226,0199106;;221,8197466;;314,7586377;;286,1118662;;257,9786813;;246,0447114
39;290,9518861;;207,4222746;;171,3971995;;155,724115;;148,1215717;;198,0403999;;170,8566651;;128,7012043;;95,69221494;;238,3799488;;201,5167487;;175,5591069;;169,5169608;;277,1858582;;239,9208203;;218,2956711;;214,7091055;;310,4400103;;281,625638;;252,3885893;;238,729973
39;280,5298558;;199,1230775;;161,3846337;;148,0979406;;142,0211252;;184,613109;;155,2063143;;111,8659913;;87,23531395;;225,0777643;;190,664627;;165,6411785;;163,1747529;;264,4617175;;231,0086578;;208,4322432;;207,7402224;;297,712949;;271,8124353;;243,3783063;;231,4584196
40;276,8176295;;196,468827;;158,7734235;;146,8740957;;141,5662389;;182,7840256;;150,3362897;;105,3802638;;80,05623024;;222,5758298;;188,7432118;;168,5496959;;168,1338752;;259,5862092;;228,7378412;;210,791366;;211,8041548;;291,3279938;;267,7256058;;241,6464359;;231,3655117
40;273,117191;;189,620674;;150,2830662;;138,09055;;137,0875633;;177,0197729;;137,8441149;;97,08243919;;78;;219,456146;;174,9571376;;157,492857;;162,7820629;;256,9610865;;212,9413065;;199,6196383;;205,5066909;;287,8628145;;252,944658;;229,3403584;;221,0701246
41;273,0073259;;191,0235588;;152,5057376;;140,1748908;;138,7515766;;176,8191166;;137,0583817;;96,9381246;;77,47257579;;219,1118436;;175,0457083;;156,6045976;;161,5332783;;255,7831112;;214,6741717;;200,3846301;;203,9019372;;286,5745976;;252,1210027;;229,7150409;;221,4723459
41;269,9036865;;186,2068742;;145,1654229;;133,0037593;;131,8976876;;173,0462366;;122,8006515;;82,8794305;;67,67569726;;215,2301094;;161,3846337;;144,1006593;;152,6106156;;250,9900396;;203,0369425;;189,0423233;;193,9407126;;281,0427014;;244,6630336;;222,4275163;;214,7091055
42;268,3654225;;184,4017353;;142,9405471;;133,0338303;;134,0820644;;171,6770223;;120,9338662;;80,72174428;;66,09841148;;213,8270329;;161,0031056;;145,523194;;155,1289786;;250,9900396;;203,0369425;;188,3215336;;193,2588937;;281,0427014;;245,5056008;;222,8272874;;214,2451866
42;264,1401143;;178,2161609;;139,2838828;;130,3111661;;128,3160161;;171,4322023;;110,6390528;;74,02702209;;65,2533524;;214,4014925;;150,4160896;;137,0328428;;151,0099334;;251,3364279;;192,314846;;179,7776404;;190,4363411;;278,4546642;;234,155931;;212,1320344;;208,4706214
43;263,5014231;;177,2004515;;138,6001443;;130,3840481;;128,6934342;;171,4322023;;110,2769242;;72,20110802;;62,8171951;;215,8008341;;149,3452376;;136,7954678;;151,4199458;;252,1051368;;191,4497323;;179,4240787;;191,1282292;;279,2060171;;234,4717467;;211,1776503;;208,0024038
43;261,6275979;;174,0028735;;132,1892583;;123,199026;;123,8587906;;163,9756079;;104,9571341;;67,67569726;;60,5309838;;209,0095692;;142,6779591;;130,4952106;;142,4148869;;245,4587542;;184,3176606;;173,104015;;181,0690476;;273,3093485;;230,8679276;;208,0624906;;202,2374842
44;260,8371139;;173,8763929;;131,91285;;122,102416;;123,8587906;;164,1249524;;105,4751155;;68,24221567;;59,68249325;;209,6187015;;143,9618005;;130,7287268;;140,6875972;;246,221445;;185,2241885;;173,8188712;;180,8673547;;272,7214696;;229,8173188;;208,0624906;;202,7140844
44;261,6275979;;172,3513853;;129,8075499;;119,0378091;;121,6305883;;167,385782;;102,342562;;66,73080248;;61,29437168;;213,0375554;;138,3510029;;123,227432;;137,0328428;;247,6307735;;176,2044267;;163,6154027;;174,7712791;;272,7214696;;219,2076641;;196,5960325;;194,3630623
45;264,4333564;;174,0028735;;131,91285;;121,1032617;;122,9308749;;169,6142683;;105,394497;;70,17834424;;63,95310782;;213,0375554;;137,6154061;;123,081274;;137,5281789;;247,5176761;;176,663522;;164,0030488;;174,3846324;;273,3093485;;219,9681795;;197,0913494;;193,8710912
45;262,8003044;;172,1540008;;129,8075499;;118,0677771;;122,0040983;;165,8553587;;100,8017857;;68,42514158;;66,12110102;;209,3442142;;132,4235629;;118,2708755;;132,0037878;;244,1823089;;173,6663468;;160,224842;;170,5784277;;269,4531499;;218,3254452;;194,833262;;191,0497317
46;263,6000759;;172,0726591;;130,7402004;;120,2039933;;127,2360012;;166,1384964;;101,2570985;;67,23094526;;62,51399843;;209,3442142;;135,1480669;;121,4331092;;136,0147051;;244,1823089;;176,2980431;;163,7833935;;175,3767373;;271,5879231;;221,3594362;;197,9141228;;195
46;263,0684322;;171,8633178;;128,5496013;;117,0384552;;123,6931688;;167,6305461;;97,9489663;;68,15423685;;68,00735254;;212,433519;;129,7112177;;113,8463877;;127,9453008;;246,8055915;;170,4699387;;156,588633;;167,8392088;;272,2443755;;216,2059204;;192,7744796;;190,2629759
47;262,2556005;;171,8982257;;129,2439554;;120,2039933;;129,4681428;;167,6305461;;99,48869282;;68,94200461;;67,00746227;;213,8457388;;131,487642;;116,0775603;;130,1729619;;248,9176571;;172,6991604;;158,8238017;;171,8284028;;273,6731627;;217,4235498;;193,9123513;;191,650724
47;264,8811054;;172,5398505;;128,8603896;;116,0172401;;124,4226667;;167,1077497;;100,448992;;72,11102551;;70,11419257;;213,5509307;;131,3697073;;115,3949739;;127,1219887;;249,002008;;174,4534322;;159,5117551;;169,8057714;;273,9799263;;222,9125389;;198,8064385;;192,2758435
48;263,7972706;;174,6568063;;132,4235629;;120;;125,5906047;;169,1449083;;103,9471019;;74,94664769;;72,11102551;;215,6780007;;133,9888055;;120,7683733;;135,0851583;;251,9841265;;176,1391495;;162,1141573;;171,3038237;;279,1164631;;224,7420744;;200,8008964;;193,3416665
48;261,8396456;;173,9482682;;131,4838393;;117,1067889;;116,691902;;166,3520364;;108,4665847;;77,88452991;;74,54528825;;214,6741717;;136,6528448;;120,2206305;;131,0610545;;252,2399651;;181,8130908;;163,370744;;169,3074127;;281,7374664;;231,2249986;;202,8299781;;192,4266094
49;269,8629282;;180,4799158;;135,4843164;;115,7410904;;112,1784293;;174,0919297;;112,6099463;;80,32434251;;76,05918748;;220,8393081;;141,8203088;;124,8679302;;133,9589489;;256,7372197;;186,3169343;;170,0176461;;177,7920133;;283,3460781;;234,0790465;;205,1170398;;195,064092
49;278,0017986;;187,0962319;;138,2208378;;115,4469575;;110,317723;;181,0690476;;115;;87,09764635;;84,38009244;;228,0372777;;142,3411395;;124,2014493;;135,9154149;;262,4195115;;185,3483207;;169,292646;;179,8054504;;286,4000698;;229,4558781;;202,2325394;;196,0229578
50;279,885691;;189,4967018;;143,3910736;;122,0245877;;115,1173314;;183,9836949;;120,4325537;;95,34149149;;92,19544457;;231,4584196;;149,9066376;;126,8108828;;132,0037878;;266,8126684;;195,1819664;;175,068558;;180,8535319;;291,6659048;;238,6629422;;211,6246677;;203,6516634
50;283,1766233;;193,0932417;;146,9863939;;123,1300126;;112,0178557;;185,0675552;;123,4382437;;107,0747403;;108,6830254;;232,9978541;;151,4001321;;126,8227109;;128,082005;;268,7638369;;197,0913494;;175,5676508;;177,4852107;;294,8982876;;244,1311123;;215,4112346;;204,3526364
51;290,299845;;199,9849994;;152,502459;;127,9453008;;120,2039933;;191,2066944;;128,351081;;109,2931837;;108,5034562;;241,2985702;;156,2369995;;130;;131,0457935;;276,5682556;;201,6358103;;177,0536642;;178,8994131;;302,7358585;;248,2438317;;217,2003683;;206,5260274
51;289,8620361;;202,0544481;;151,4859729;;122,1147002;;112,8051417;;197,7397279;;138,5135372;;121,2641744;;125,8650071;;247,008097;;158,5181378;;127,9413928;;123,9435355;;280,4728151;;198,6454127;;168,0743883;;163,1103921;;303,2507214;;248,3384787;;215,9282288;;201,6457289
52;295,1948509;;205,8008746;;156,4640534;;127,8632082;;114,4770719;;205,1194774;;142,8040616;;119,0042016;;116,6619047;;253,7124356;;169,1981087;;138,1955137;;131,1258937;;289,8361606;;209,575762;;177,2484133;;168,1071087;;313,9697438;;261,2221277;;227,9232327;;211,0781846
52;306,740933;;216,8985938;;161,7188919;;126,574089;;100,8464179;;203,0591047;;149,7230777;;127,7693234;;127,0472353;;253,0316186;;174,183811;;140,6840432;;125,9285512;;290,8487579;;216,0416626;;178,7092611;;163,0828011;;319,3399443;;264,425793;;227,0352396;;205,9126028
53;320,2577087;;227,1915491;;170,8478856;;132,9661611;;104,3072385;;210,6679852;;154,0032467;;123;;107,856386;;261,0478883;;181,0773315;;143,251527;;124,3261839;;297,0151511;;222,7195546;;182,5705343;;163,370744;;325,1215157;;270,6011826;;234,8829496;;215,6756824
53;325,1614983;;234,9233918;;175,8010239;;132,740348;;102,4499878;;214,0093456;;163,2298992;;133,8207757;;115,8360911;;261,6811036;;189,6628588;;150,2664301;;127,1416533;;297,5785611;;230,5927145;;188,1621641;;162,5423022;;325,1707244;;280,2356152;;246,3513751;;222,3083444
54;334,462255;;243,2611765;;181,8598361;;136,8502832;;104,3072385;;219,6406156;;162,3884232;;126,0357092;;100,4241007;;266,0018797;;194,6406946;;155,7562198;;131,4001522;;302,3243292;;237,9453719;;197,3626104;;173,0115603;;330,0560558;;287,3360402;;255,6247249;;232,4758052
54;20,39607805;;22,36067977;;18,97366596;;14,86606875;;16,1245155;;15,62049935;;14,03566885;;19,10497317;;19,10497317;;15,26433752;;11,40175425;;10,77032961;;11,40175425;;16,64331698;;11,18033989;;7,810249676;;8,602325267;;18,02775638;;14,76482306;;14,2126704;;15,62049935
55;8;;4,242640687;;3,605551275;;5;;6,403124237;;10,81665383;;18,43908891;;26,40075756;;39,11521443;;15,26433752;;26,57066051;;27,73084925;;29,68164416;;19,23538406;;31,01612484;;29,96664813;;28,17800561;;22,36067977;;33,24154028;;35,17101079;;35,44009029
56;5;;11,40175425;;14;;11,40175425;;11,18033989;;15,23154621;;29,41088234;;35,90264614;;37,65634077;;14,14213562;;27,20294102;;27,89265136;;26,57066051;;13,92838828;;28,16025568;;29,06888371;;27,45906044;;18,02775638;;28,01785145;;28,0713377;;27
57;420,0107141;;405,9753687;;411,1763612;;406,9754292;;386,2447411;;427,9310692;;420,3736433;;397,327321;;380,3800731;;417,8731865;;390,3139762;;358,9345344;;336,2171917;;403,0198506;;372,0215048;;340,9926685;;320,8067954;;389,217163;;364,2320689;;341,0366549;;327,4415978
58;416,030047;;406,8967928;;413,6725758;;416,2739483;;401,8718701;;432,6719311;;427,0948372;;399,2993864;;380,1710142;;424,4254941;;411,3259048;;385,9391144;;368,2567039;;415,0048192;;395,0050633;;372,7103433;;359,4273223;;405,4454341;;384,8129416;;367,1103376;;356,0126402
58;439,7692577;;366,2308015;;311,6472365;;273,9361239;;242,7920921;;382,4264635;;384,387825;;358,5038354;;334,0733452;;436,716155;;435,1884649;;402,6723234;;376,6497046;;479,3015752;;474,1402746;;440,7323451;;414,6540727;;510,0794056;;501,4828013;;473,7699864;;451,4432412
59;416,5297108;;359,8694208;;315,0745943;;287,675164;;268,9107659;;380,7571404;;391,7716171;;379,9539446;;364,6601157;;430,6692466;;434,8850423;;410,8357336;;391,1751526;;470,8333038;;477,0461194;;452,835511;;429,408896;;501,0229536;;507,212973;;486,9630376;;467,1316731
59;442,3268023;;380,6363094;;331,4528624;;301,5294347;;294,9847454;;395,132889;;391,0306893;;382,3414704;;376,7505806;;443,6045536;;433,8663389;;413,9613509;;403,9826729;;484,3655644;;472,6457447;;451,6126659;;439,2095172;;514,628021;;510,4684123;;496,6950775;;485,4770849
60;515,2484837;;446,0907979;;397,0617081;;352,3194573;;327,6110499;;474,6588248;;458,7472071;;447,6985593;;450,3598561;;531,4978833;;498,7313906;;484,1032948;;487,0256667;;572,3853597;;534,6821486;;515,1640515;;517,0154737;;601,2403845;;577,4192584;;558,0573447;;555,0036036
61;4,123105626;;4;;13,03840481;;19,10497317;;36,35931793;;24,08318916;;16,1245155;;19,10497317;;26,2488095;;16,2788206;;28,23118843;;28,0713377;;26,17250466;;7,071067812;;31,30495168;;30,14962686;;24,20743687;;2;;24,18677324;;29,83286778;;23,34523506
62;550,9237697;;503,150077;;479,0167012;;481,8142796;;497,2263066;;568,0563352;;591,4930262;;579,0768515;;565,9549452;;616,1371601;;643,944097;;620,2684903;;600,4015323;;646,198112;;670,3170891;;647,3638853;;625,8705937;;664,1084249;;684,5728595;;672,625453;;658,4747527
63;551,8496172;;521,1957406;;510,4164966;;528,0236737;;551,4000363;;569,1722059;;599,082632;;602,2640617;;596,7545559;;612;;647,8780749;;641,2019963;;627,9936305;;640,0945243;;673,5020416;;666,4420455;;651,6256594;;656,1097469;;683,9480974;;682,0043988;;671,7626069
63;546,3121818;;529,3666026;;531,3049972;;553,1093924;;579,9974138;;592,0033784;;623,1596906;;636,522584;;636,7369944;;622,0289382;;662,0453157;;671,8668023;;667,3717105;;640,0281244;;677,4961255;;685,8986806;;682,3019859;;645;;676,4259013;;686,5711908;;684,702125
64;544,0560633;;576,0034722;;608,0074013;;630,2079022;;653,2051745;;649,0123265;;676,4325539;;687,9832847;;693,1789091;;637,0125587;;665,3269873;;674,2469874;;676,131644;;618;;644,4105834;;654,6426506;;657,1582762;;593,0413139;;617,0656367;;629,1343259;;633,315877
64;557,483632;;583,8946823;;618,0008091;;643,6458654;;671,5295973;;649,0377493;;684,6152204;;710,7095047;;731,2626067;;638,0384001;;673,2495823;;693,7326574;;708,1391106;;623,0032103;;653,3704921;;669,4303549;;677,6208379;;604,0405616;;630,0285708;;645,0193796;;653,0375181
65;555,2260801;;589,7965751;;627,007177;;651,6256594;;671,0290605;;658,1945001;;709,0733389;;736,8799088;;753,6378441;;646,1307917;;696,7818884;;725,8443359;;744,8227977;;629,0198725;;675,1666461;;693,1413997;;701,1397863;;611,0400969;;649,0069337;;666,0270265;;675,0474057
65;557,6674636;;593,3498125;;632,1139138;;659,3822867;;679,9823527;;659,334513;;709,4286433;;733,203928;;746,9169967;;648,1735879;;699,2624686;;722,5960144;;734,5699422;;631,0285255;;675,4628043;;685,5720239;;686,5711908;;612,0294111;;648,0123456;;660,0121211;;665,0067669
